region,year,EV_sales,sales_share,EV_stock,stock_share
Europe,2010,612.3333333333334,0.0120000001043081,3301.0,0.0038999998942017
Europe,2011,3816.0,0.0740000009536743,6862.666666666667,0.0078999996185302
Europe,2012,9409.666666666666,0.2000000029802322,15603.333333333334,0.0179999992251396
Europe,2013,19680.666666666668,0.4199999868869781,34710.0,0.0399999991059303
Europe,2014,32010.666666666668,0.6600000262260437,66716.66666666667,0.0740000009536743
Europe,2015,63063.333333333336,1.2000000476837158,126780.0,0.1400000005960464
Europe,2016,71060.0,1.2000000476837158,196846.66666666666,0.2199999988079071
Europe,2017,100113.33333333333,1.7000000476837158,293630.0,0.3100000023841858
Europe,2018,133426.66666666666,2.299999952316284,417000.0,0.449999988079071
Europe,2019,193536.66666666666,3.299999952316284,590566.6666666666,0.6100000143051147
Europe,2020,466913.3333333333,10.0,1034133.3333333334,1.100000023841858
Europe,2021,766986.6666666666,17.0,1801133.3333333333,1.7999999523162842
Europe,2022,900433.3333333334,20.0,2601566.6666666665,2.700000047683716
Europe,2023,1100273.3333333333,21.0,3735166.6666666665,3.799999952316284
Finland,2011,30.0,0.025000000372529,56.0,0.0020000000949949
Finland,2012,90.5,0.1700000017881393,120.0,0.0086000002920627
Finland,2013,110.0,0.209999993443489,235.0,0.0170000009238719
Finland,2014,220.0,0.4099999964237213,465.0,0.0340000018477439
Finland,2015,330.0,0.6000000238418579,790.0,0.0579999983310699
Finland,2016,710.0,1.2000000476837158,1620.0,0.1199999973177909
Finland,2017,1550.0,2.5999999046325684,3550.0,0.2599999904632568
Finland,2018,2840.0,4.699999809265137,7700.0,0.5600000023841858
Finland,2019,3950.0,6.900000095367432,9900.333333333334,1.100000023841858
Finland,2020,8600.0,18.0,18567.0,2.0
Finland,2021,10000.333333333334,31.0,33333.666666666664,3.5999999046325684
Finland,2022,15500.0,38.0,48334.0,5.400000095367432
Finland,2023,24000.0,54.0,74667.33333333333,8.100000381469727
France,2010,136.0,0.0120000001043081,300.0,0.0009299999801442
France,2011,1328.0,0.1199999973177909,1498.0,0.0093000000342726
France,2012,3180.0,0.3300000131130218,4650.0,0.0280000008642673
France,2013,3250.3333333333335,0.5299999713897705,6167.0,0.0579999983310699
France,2014,4367.0,0.6899999976158142,10534.0,0.0970000028610229
France,2015,7936.666666666667,1.2000000476837158,18104.0,0.1700000017881393
France,2016,10211.333333333334,1.399999976158142,28015.333333333332,0.2599999904632568
France,2017,12682.0,1.7000000476837158,49030.666666666664,0.4600000083446502
France,2018,16003.333333333334,2.0,62700.0,0.6000000238418579
France,2019,21353.333333333332,2.700000047683716,85056.66666666667,0.6600000262260437
France,2020,61736.666666666664,11.0,146793.33333333334,1.100000023841858
France,2021,103338.0,17.0,246800.0,1.899999976158142
France,2022,113400.0,20.0,350196.6666666667,2.799999952316284
France,2023,156770.0,25.0,523630.0,4.099999904632568
Germany,2010,78.0,0.0049000000581145,134.5,0.0005799999926239
Germany,2011,559.3333333333334,0.0520000010728836,632.3333333333334,0.0043999999761581
Germany,2012,1143.0,0.1099999994039535,1795.3333333333333,0.0120000001043081
Germany,2013,2274.3333333333335,0.2300000041723251,4103.333333333333,0.0280000008642673
Germany,2014,4502.666666666667,0.449999988079071,8506.666666666666,0.0560000017285347
Germany,2015,7687.666666666667,0.7300000190734863,15060.0,0.0970000028610229
Germany,2016,12000.0,0.7400000095367432,22060.0,0.1400000005960464
Germany,2017,18027.333333333332,1.600000023841858,34753.333333333336,0.2199999988079071
Germany,2018,22370.0,2.0,55123.333333333336,0.3499999940395355
Germany,2019,36066.666666666664,3.0,80180.0,0.5
Germany,2020,130066.66666666667,14.0,203580.0,1.2999999523162842
Germany,2021,230153.33333333334,26.0,417066.6666666667,2.5999999046325684
Germany,2022,276946.6666666667,31.0,620700.0,3.900000095367432
Germany,2023,233420.0,24.0,834133.3333333334,5.400000095367432
Greece,2013,3.0,0.0051000001840293,3.0,6.7000000854e-05
Greece,2014,39.0,0.0549999997019767,42.0,0.0009500000160187
Greece,2015,28.5,0.0780000016093254,59.5,0.0027000000700354
Greece,2016,48.5,0.1199999973177909,109.0,0.0049999998882412
Greece,2017,95.0,0.2199999988079071,205.0,0.0096000004559755
Greece,2018,149.0,0.2899999916553497,360.0,0.0170000009238719
Greece,2019,240.0,0.4199999868869781,600.0,0.0289999991655349
Greece,2020,1090.0,2.5999999046325684,1650.0,0.0829999968409538
Greece,2021,3500.0,6.900000095367432,5150.0,0.2599999904632568
Greece,2022,4150.0,7.900000095367432,9700.0,0.5199999809265137
Greece,2023,8500.0,14.0,17000.0,0.9100000262260436
Hungary,2015,67.5,0.1700000017881393,,
Hungary,2016,170.0,0.3600000143051147,,
Hungary,2017,595.0,1.0,,
Hungary,2018,1035.0,1.5,,
Hungary,2019,1450.0,1.899999976158142,,
Hungary,2020,3000.0,4.699999809265137,,
Hungary,2021,4250.0,7.0,,
Hungary,2022,4800.0,8.600000381469727,,
Hungary,2023,5650.0,11.0,,
Iceland,2010,11.0,,17.0,0.0066999997943639
Iceland,2012,13.0,0.3300000131130218,20.0,0.0189999993890523
Iceland,2013,51.5,1.399999976158142,53.333333333333336,0.06700000166893
Iceland,2014,114.5,2.400000095367432,98.33333333333333,0.1500000059604644
Iceland,2015,280.0,3.900000095367432,238.0,0.3600000143051147
Iceland,2016,580.0,6.300000190734863,521.0,0.75
Iceland,2017,1520.0,14.0,1300.6666666666667,1.7000000476837158
Iceland,2018,1232.0,20.0,2672.3333333333335,3.400000095367432
Iceland,2019,1035.6666666666667,26.0,3677.0,4.699999809265137
Iceland,2020,1633.6666666666667,52.0,5010.0,6.5
Iceland,2021,3034.3333333333335,70.0,7177.0,9.300000190734863
Iceland,2022,6000.0,69.0,11010.333333333334,14.0
Iceland,2023,4133.666666666667,71.0,14675.666666666666,18.0
India,2010,450.0,0.0209999997168779,880.0,0.0049999998882412
India,2011,1400.0,0.0560000017285347,1300.0,0.0066999997943639
India,2012,190.0,0.0071999998763203,2800.0,0.0120000001043081
India,2013,410.0,0.0160000007599592,2900.0,0.0120000001043081
India,2014,1000.0,0.0379999987781047,3400.0,0.0130000002682209
India,2015,450.0,0.0170000009238719,4400.0,0.0149999996647238
India,2016,730.0,0.0260000005364418,4800.0,0.0149999996647238
India,2017,920.0,0.0309999994933605,7000.0,0.0209999997168779
India,2018,920.0,0.0299999993294477,7900.0,0.0219999998807907
India,2019,343.5,0.0240000002086162,4303.5,0.0219999998807907
India,2020,1571.5,0.1199999973177909,6025.0,0.0289999991655349
India,2021,4017.0,0.3499999940395355,7700.333333333333,0.0540000014007091
India,2022,16008.333333333334,1.2000000476837158,24041.0,0.1500000059604644
India,2023,41135.0,2.0,50131.0,0.3100000023841858
Ireland,2015,295.0,0.4699999988079071,,
Ireland,2016,345.0,0.4699999988079071,,
Ireland,2017,475.0,0.7200000286102295,,
Ireland,2018,970.0,1.600000023841858,,
Ireland,2019,2350.0,4.099999904632568,,
Ireland,2020,3250.0,7.400000095367432,,
Ireland,2021,8250.0,16.0,,
Ireland,2022,11850.0,22.0,,
Ireland,2023,16500.0,27.0,,
Israel,2011,3.0,0.001300000003539,85.0,0.0043000001460313
Israel,2012,300.5,0.270000010728836,305.5,0.0289999991655349
Israel,2013,238.5,0.209999993443489,509.0,0.0480000004172325
Israel,2014,29.0,0.0219999998807907,635.0,0.0560000017285347
Israel,2015,34.0,0.0240000002086162,670.0,0.0549999997019767
Israel,2016,34.0,0.0219999998807907,700.0,0.0540000014007091
Israel,2017,815.0,0.5199999809265137,1550.0,0.1099999994039535
Israel,2018,1865.0,1.2000000476837158,3400.0,0.2300000041723251
Israel,2019,2375.0,1.600000023841858,5700.0,0.3700000047683716
Israel,2020,3450.0,2.5999999046325684,9400.0,0.5799999833106995
Israel,2021,12000.0,6.900000095367432,21500.0,1.2999999523162842
Israel,2022,21500.0,12.0,44000.0,2.5
Israel,2023,32500.0,19.0,75500.0,4.199999809265137
Italy,2010,40.0,0.0020000000949949,650.0,0.001700000022538
Italy,2011,110.0,0.0065000001341104,760.0,0.0020000000949949
Italy,2012,460.0,0.032999999821186,1200.0,0.0031999999191612
Italy,2013,520.0,0.0799999982118606,1090.0,0.0057999999262392
Italy,2014,450.0,0.1000000014901161,1210.0,0.0093999998643994
Italy,2015,747.0,0.1400000005960464,1903.6666666666667,0.0149999996647238
Italy,2016,1350.0,0.1500000059604644,2837.0,0.0219999998807907
Italy,2017,2450.0,0.25,4470.333333333333,0.0340000018477439
Italy,2018,3233.6666666666665,0.5099999904632568,7670.666666666667,0.0579999983310699
Italy,2019,5839.0,0.8999999761581421,13342.666666666666,0.1000000014901161
Italy,2020,20002.333333333332,4.300000190734863,33011.666666666664,0.25
Italy,2021,46003.333333333336,9.5,76681.66666666667,0.5899999737739563
Italy,2022,38003.666666666664,8.600000381469727,116685.33333333333,0.9100000262260436
Italy,2023,45334.0,9.199999809265137,163353.0,1.2999999523162842
Japan,2010,1201.0,0.0529999993741512,3500.0,0.0060999998822808
Japan,2011,6507.5,0.2899999916553497,8007.5,0.0280000008642673
